,Informal Text,Expanded Meaning,Polarity
4219,Good Morning! 'RETURN TO WILLEN ISLAND - Spring has most definitely sprung' ... http://bit.ly/EyRtT ... enjoy,good morning return to willen island spring has most definitely sprung httpsbitlyeyrtt enjoy,positive
4220,Watching One Fine Day while eating my cereal. Start a good sunday with a good movie,watching one fine day while eating my cereal start a good sunday with a good movie,positive
4221,"Concord & Irvine, CA only. That`s it for `09.",concord irvine ca only thats it for,neutral
4222,OMG sore shoulder,oh my god sore shoulder,negative
4223,You`re welcome! Cutie-pie kiddo.. in your picture btw Love those shades!,youre welcome cutiepie kiddo in your picture btw love those shades,positive
4224,-g`mornin` Twitterville took the day off from Tweet`n yesterday & I`m 'jonesing' to get back into it today,good morning twitterville took the day off from tweetn yesterday i am jonesing to get back into it today,positive
4225,goin ta bed now! goodnite jessica,going to bed now goodnight jessica,positive
4226,lmao you witty wacko...loves it,laughing my ass off you witty wackoloves it,positive
4227,"I refuse to get excited as I don`t want to be let down if it happens, as long as it`s not between June 11 - 28 or I`d die",i refuse to get excited as i do not want to be let down if it happens as long as it is not between june or i would die,neutral
4228,"`If I don`t believe in Him, why would He believe in me?` -Bring Me The Horizon A chill goes down my spine whenever I hear that line.",if i do not believe in him why would he believe in me bring me the horizon a chill goes down my spine whenever i hear that line,negative
4229,"@_xotashhh I love having days off school, I had one on friday too",xotashhh i love having days off school i had one on friday too,positive
4230,u never sent me carrie. ur an ****. but an **** that i miss,you never sent me carrie your a shit but and that i miss,negative
4231,booooo my senior yearbook sucks thanks for the memories bhs -___-,bro my senior yearbook sucks thanks for the memories bhs,negative
4232,heyy terrence u should come to my school on May 29th for our talent show,hey terrence you should come to my school on may for our talent show,positive
4233,theres too much light pollution to see the stars,there is too much light pollution to see the stars,negative
4234,sick n tired of people who steal other people`s work,sick and tired of people who steal other peoples work,negative
4235,back to bed,back to bed,positive
4236,I`m having trouble viewing it as well on you tube for some reason,i am having trouble viewing it as well on you tube for some reason,neutral
4237,if i wasnt workin in 5 hours id be gettin ratarsed to the point where i couldnt even see let alone stand up...THAT is how **** i feel,if i was not workin in hours id be gettin ratarsed to the point where i could not even see let alone stand upthat is how i feel,negative
4238,"#warmfuzzies to you, my friend",warmfuzzies to you my friend,positive
4239,@_supernatural_ http://twitpic.com/66l83 - I really miss her.,supernatural i really miss her,negative
4240,happy sunday all,happy sunday all,positive
4241,Please let me know if it is allright DE i need to know but first just wake up a little and enjoy the cofee ****,please let me know if it is allright de i need to know but first just wake up a little and enjoy the coffee,neutral
4242,well maybe someone will care,well maybe someone will care,neutral
4243,"Awww, that wasn`t very nice.",awww that was not very nice,negative
4244,slaving away at work,slaving away at work,negative
4245,"For US tweeps, don`t forget to call your mom today...",for us tweeps do not forget to call your mom today,positive
4246,Fml just ran a mile.. And I just got scraped by my yearbook and I got 1/10 on my math test. Eff today,fuck my life just ran a mile and i just got scraped by my yearbook and i got on my math test eff today,negative
4247,haha i agree ! i am her test dummy. i just go in and say 'do whatever you want' and i always love it. she is magic!,haha i agree i am her test dummy i just go in and say do whatever you want and i always love it she is magic,positive
4248,"****, i dont have 2 work saturday, & i was suppose 2 hang out with my friend & watch it. we can still hang out but no JONAS =",shit i dont have to work saturday i was suppose to hang out with my friend watch it we can still hang out but no jonas,negative
4249,Going to tmobile i need a new phone this G1 is so not working for me anymore,going to mobile i need a new phone this is so not working for me anymore,negative
4250,Raaaaaaaaaaagh early morning and its not even early!! Must leave for work in 6 minutes...,ragh early morning and its not even early must leave for work in minutes,negative
4251,There you go.,there you go,positive
4252,OOO YUK !! thats not good Im retching as we tweet,ooo yuk thats not good i am retching as we tweet,negative
4253,120mm films usually handled at Fuji Oh I met a girl at San Diego. Kwento soon. I miss youuu!,films usually handled at fuji oh i met a girl at san diego kwento soon i miss you,neutral
4254,lol - thats 51p less ive got towards the cruise!!,laugh out loud thats pounds less i have got towards the cruise,negative
4255,"That seized bolt, ya it`s still stuck! The bushing is actually seized to the bolt, very very lame Perhaps some heat will work?",that seized bolt yeah it still sucks the bushing is actually seized to the bolt very very lame perhaps some heat will work,negative
4256,Hearing that my songs brighten someone`s day always makes ME grin.,hearing that my songs brighten someones day makes me smile happily,positive
4257,where r all the 5am tweets from people...oh that`s right...they opened the #houseofrock last night so they`re still in bed,where are all the tweets from the people oh that is right they opened the houseofrock last night so they are still in the bed,negative
4258,Working on Canada Shoots information. Coming your way soon if you have expressed interest and I have your email address . Eh!!!,working on canada shoot information coming your way soon if you have expressed interest and i hvae your email address eh disgust,negative
4259,Mrs.Bates left,mrsbates left,negative
4260,Hates having broken wrist and has PE next ugh,hates have broken wrist and have physical education next ugh,negative
4261,watching SNL with guess Justin Timberlake...OMG! He is too funny! hahahah,watching saturday night live with justin timberlake oh my god he is too funny hahahah,negative
4262,Last day of CGI 09,last day of computer integrated graphics,positive
4263,Who To Say Hi To And Who To Buy A Shot To. Lol. Jk.,whot to say hi to and who to buy buy a shot to laugh out loud just kidding,negative
4264,"thank you! i was just playing that a moment ago, actually! a very different, even more chill version. *spooky*! haha.",thank you i was just playing that a moment ago actually a very differernt even more chill version spooky haha,negative
4265,Well off 2 bed...cant wait 2 party 4 Mother`s Day in like 14 hours or so,well off bed cant wait party mothers day in like hours or so,positive
4266,is gonna be mad hungry when I get home. Forgot my money...,is gonna be mad hugry when i get home forgot my money,negative
4267,So when are you guys coming to Alabama...you were supposed to be there tonight but cancelled...I had great seats,so when are you guys coming to alabama you were supposed to be there tonight but cancelled i had great saeats,negative
4268,hey plz look > http://www.twitpic.com/5m7vd < what do u think? plz tell me,hey please look what do you think please tell me,negative
4269,hey plz look > http://www.twitpic.com/5m7vd < what do u think? plz tell me,hey please look what do you think please tell me,negative
4270,http://skipall.com/8p.png The come apart easy enough,the come apart easy enough,negative
4271,sadly brother told me there are no skateparks where he lives. BUMMER!,sadly brother told me there are no skateparks where he lives bummer,negative
4272,Tell X to email me pics! OfficialShew,tell x to email me pics officialshew,negative
4273,Heaos keen for next weekend. Mummy. <3,heaos excited for next weekend mummy,positive
4274,i hate stupid boys! arrgh,i hate stupid boys arrgh,negative
4275,hi Ms. Fussy *waves*,hi ms fussy waves,neutral
4276,I hope you didn`t take that quote personally!! I`ve been throwing them out here and there all day-guess I shoulda waited a bit,i hope you did not take that quote personally i have been throwing them out here and there all dayguess i shoulda waited a bit,negative
4277,at `s with,at s with,positive
4278,sounds like you`re having a great time,sounds like you are having a great time,positive
4279,"You spelled my name wrong, but message received http://tinyurl.com/krw9p3",you spelled my name wrong but message received,negative
4280,email those pics on ur labtop to me... I wana put one of them as my background! http://myloc.me/21DS,email those pics on ur labtop to me i wana put one of them as my background,negative
4281,British Expat Tweet Tommy and the Giant Sprout: Especially for Fly as part of sprout seaso.. http://tinyurl.com/c7kvb6,british expat tweet tommy and the giant sprout especially for fly as part of sprout seaso,positive
4282,"and Im just going into work... if we were married, we wud never see each other",and im just going into work if we were married we wud never see each other,negative
4283,Weird! Maybe all the updates just aren`t being sent to my phone Haha,weird maybe all the updates just are not being sent to my phone haha,negative
4284,"http://twitpic.com/4jbwh - we were at a sleepover, and nobody stops me when there`s a camera in my hand",we were at a sleepover and nobody stops me when there is a camera in my hand,negative
4285,I wish it would rain...but it won`t,i wish it would rainbut it will not,negative
4286,Amazing day with my boyfriend. He`s a good drummer.,amazing day with my boyfriend hes a good drummer,positive
4287,pansy wtf codeh?!,pansy what the fuck codeh,negative
4288,I should have know that 'extra hand' comment would cause trouble... About to upload House Music and Beyond Vol. 3,i should have know that extra hand comment would cause trouble about to upload house music and beyond vol,negative
4289,"Going to i don`t know where with taylor,dolton,jacob, chris and my sister.",going to i do not know where with taylordoltonjacob chris and my sister,neutral
4290,Just got back from a run & I`m feeling grrrrrreeeeeaat!!!,just got back from a run i am feeling great,positive
4291,GGWP!,good game well played,positive
4292,yes and i want you to keep going if you would ;),yes and i want you to keep going if you would,positive
4293,Sunburn ouch,sunburn ouch,neutral
4294,Fun times ~ that`s my friends beer! here`s the pic` http://yfrog.com/053agj,fun times that is my friends beer here is the pic,positive
4295,It appears I`m going home tomorrow...and it`s not a good thing...,it appears i am going home tomorrowand it is not a good thing,negative
4296,The graduation ceremony should be starting about now. I really wish I could be there.,the graduation ceremony should be starting about now i really wish i could be there,neutral
4297,hahaha omg i only got 3 hrs of sleep,hahaha omg i only got hrs of sleep,negative
4298,- I LOVE YOU!!!! YOU MAKE ME SO HAPPY!!!!,i love you you make me so happy,positive
4299,Thanks for sending the link.,thanks for sending the link,positive
4300,Arrrr better half made me brekkie in bed. Weather not 2 gud in Black Country 2day but we won`t let it put the dampers on our planned bbq,arrrr better half made me brekkie in bed weather not gud in black country but we will not let it put the dampers on our planned barbeque,neutral
4301,wish u could rub my head too,wish u could rub my head too,negative
4302,_Hodges Yup. Their loss.,hodges yup their loss,negative
4303,i`m sad...i`ll miss you grandma angie.. you were always like a 3rd grandma to me..,i am sadi will miss you grandma angie you were always like a grandma to me,negative
4304,OHHHH THAT REMINDS ME. I know it`s not one of yours.... can you send me some of my toothpaste?,ohhhh that reminds me i know it is not one of yours can you send me some of my toothpaste,negative
4305,_in_love scanton?! that`s farrr elaine got her cartilage pierced! it`s so cute!,inlove scanton that is farrr elaine got her cartilage pierced it is so cute,positive
4306,Wake Up..... Please.,wake up please,negative
4307,"Would applaud self-validation for all sorts of good theological, psychological & sociological reasons. But agree - lighten up!",would applaud selfvalidation for all sorts of good theological psychological sociological reasons but agree lighten up,neutral
4308,"really... I`m an alumnus, and I don`t know myself! and we didn`t have Macs yet when I was there...",really i am an alumnus and i do not know myself and we did not have macs yet when i was there,positive
4309,im sorry,im sorry,negative
4310,It rained here too,it rained here too,negative
4311,lol exams i didn`t go to mcast or other school i finished form 5 and that`s it soo disappointed in myself,laugh out loud exams i did not go to mcast or other school i finished form and that is it soo disappointed in myself,negative
4312,These messages are teasing me! It isnt fair.,these messages are teasing me it isnt fair,neutral
4313,no way to comment on site unless you are a member,no way to comment on site unless you are a member,negative
4314,gtg ! time's up !,got to go times up,neutral
4315,ack! I just read about your show that`s horrible!!! No accounting for taste.,ack i just read about your show that is horrible no accounting for taste,negative
4316,"... thx for ur msg, so awesome! luv the new single! xoxo",thanks for ur msg so awesome love the new single xoxo,positive
4317,Why does Urban Outfitters taunt me with amazing clothing that`s way too expensive.,why does urban outfitters taunt me with amazing clothing that is way too expensive,negative
4318,last week and I interviewed and we told him you are the FB queen! Glad to see you both connected,last week and i interviewed and we told him you are the fb queen glad to see you both connected,positive
4319,and I was just gonna ask you if you wanted to go to CLUB Hidden House on sat night. hehe.,and i was just gonna ask you if you wanted to go to club hidden house on sat night hehe,negative
4320,Headed back to Baltimore tonight,headed back to baltimore tonight,negative
4321,"I`ve been well, thx. Just getting up for an early morning meeting and wondering why I agreed to it. Don`t like getting up early",i have been well thanks just getting up for an early morning meeting and wondering why i agreed to it dont like getting up early,positive
4322,Writing or making sense ?,writing or making sense,neutral
4323,5500 words and counting. My hands hurt,words and counting my hands hurt,negative
4324,_ When they don`t pop well. I feel lousier after playing those.,when they do not pop well i feel lousier after playing those,negative
4325,I just laughed out loud on the bus reading your statement of ethics. People moved away. He he he.,i just laughed out loud on the bus reading your statement of ethics people moved away he he he,negative
4326,can you play I Wish by Jordan Knight,can you play i wish by jordan knight,positive
4327,Hi x Your websites soo cool i love using it Thank you,hi x your websites soo cool i love using it thank you,positive
4328,ordered my new shirt,ordered my new shirt,positive
4329,pretty soon gonna have to unfollow myself from _words to cut the quickly growing 'habit' ... but I do love the challenge!,pretty soon gonna have to unfollow myself from words to cut the quickly growing habit but i do love the challenge,positive
4330,OMggg. i just heard someone is gonna die on the new season of the secret life of the american teenager noooo.,oh my god i just heard someone is gonna die on the new season of the secret life of the american teenager noooo,negative
4331,cant find my shoes. :/ hope its as bad as itll get 2nite. im happy.,cant find my shoes hope its as bad as it will get tonight im happy,negative
4332,i`m getting ready for tonight (teachers dinner on the beach!) but it`s raining and i hate this!,i am getting ready for tonight teachers dinner on the beach but it is raining and i hate this,negative
4333,got all A`s,got all as,positive
4334,"i know i told him i didnt want him to stay home with me but i lied, i really did want him to stay home with me",i know i told him i didnt want him to stay home with me but i lied i really did want him to stay home with me,negative
4335,not happy,not happy,negative
4336,_gaba haha I think we should let the topic drop now. a quick poll would settle the matter if you don`t believe me,gaba haha i think we should let the topic drop now a quick poll would settle the matter if you do not believe me,negative
4337,I wish I can see clips of your show that you hosted. Hottie Shawn in the 80`s! and yes your still a Hottie!,i wish i can see clips of your show that you hosted hottie shawn in the and yes your still a hottie,positive
4338,But on the bright side...no school,but on the bright sideno school,neutral
4339,I must have viewed that picture of me and from saturday morning about a milling times x,i must have viewed that picture of me and from saturday morning about a milling times x,positive
4340,is listening & watching both my boys on Guitar Heroes,is listening and watching both my boys on guitar heroes,positive
4341,I have turned into a fast food ****,i have turned into a fast food shit,negative
4342,I hate not getting e-mail`s going to do other stuff now...ice my toe (long story) and have some calpol (cold :S) soooo night xxxx,i hate not getting emails going to do other stuff nowice my toe long story and have some calpol cold s soooo night xxxx,negative
4343,_rockstar umm how bout em?..aint get 2 see da game but i see dey survived anotha game of da series due to notin but Lebron im guessin,exclaimed how about themaint get to see the game but i see dey survived another game of the series due to nothing but lebron i am guessing,negative
4344,hey i tried callin u but it wont let me,hey i tried callin u but it wont let me,negative
4345,Now I am depressed after watching so you think you can dance,now i am depressed after watching so you think you can dance,negative
4346,home form school...its a long weekend most ppl would be happy but im not...im still mad and sad about him,home form schoolits a long weekend most ppl would be happy but im notim still mad and sad about him,negative
4347,life should be exciting today but someone very close to me has mardy bum and its starting to rub off on me!!,life should be exciting today but someone very close to me has mardy bum and its starting to rub off on me,neutral
4348,misses Nanny.,misses nanny,negative
4349,_Allison Catch you later Terry....,catch you later terry,positive
4350,Kyle is Cody`s wee bro!,kyle is codys wee bro,positive
4351,"Oh you understand French? Well, maybe I exxagerated it a little bit lol but they all want at least 1/2 years of exp. :-/",oh you understand french well maybe i exxagerated it a little bit lol but they all want at least half years of exp wanderring,neutral
4352,pea plants!,pea plants,positive
4353,thinks castles are fun,thinks castles are fun,positive
4354,At anthony`s for prom.,at anthonys for prom,positive
4355,"home! day scale from one to ten is an 8 **** i feel old compare to him, haha so cute.",home day scale from one to ten is an shit i feel old compare to him haha so cute,neutral
4356,I will move anywhere as long as it has a freaking dishwasher! I despise doing dishes,i will move anywhere as long as it has a freaking dishwasher i despise doing dishes,negative
4357,"Im doing ok. I have a 15 year old going on 35 that is driving me crazy, but that comes with the territory, I guess.",im doing ok i have a year old going on that is driving me crazy but that comes with the territory i guess,neutral
4358,Poor Kella is on meds now for an ear infection; she lost her food all over twice at the doc`s,poor kella is on meds now for an ear infection she lost her food all over twice at the docs,negative
4359,"Yes, have to be right for church",yes have to be right for church,positive
4360,Trying to find someone to go to the mall with.,trying to find someone to go to the mall with,positive
4361,Dhellohannah5 can you please follow me i need more followers haha,can you please follow me i need more followers haha,negative
4362,hm...still workin on my contract.hmm...i`m feelin awful..,exclaimed still workin on my contracthmmi am feelin awful,negative
4363,I totally forgot my phone at home this morning,i totally forgot my phone at home this morning,negative
4364,Proud 17-year-old here that loves The Carpenters!!!,proud here that loves the carpenters,positive
4365,feels sick to my stomach and idkk whyy,feels sick to my stomach and idkk whyy,negative
4366,Off to work I go,off to work i go,negative
4367,so cute you twitting in potuguese!,so cute you twitting in portuguese,positive
4368,"Hey bud, we just shot you an email",hey buddy we just shot you an email,negative
4369,"good. yeah i am fine thanks. just dreading history tomorrow, not in the mood for hyperactive 20 year olds lmao",good yeah i am fine thanks just dreading history tomorrow not in the mood for hyperactive year olds laughing my ass off,positive
4370,ew. sorry zach,eww sorry zach,negative
4371,I know. Im just kidding,i know im just kidding,negative
4372,http://twitpic.com/4jber - aww .... then we wonder why they hate us later..... lol!!,amazed then we wonder why they hate us later laughing out loud,positive
4373,round 2,round,positive
4374,i hate it when my bff is groundedd boooooooooo,i hate it when my best friend forever is grounded booooo,negative
4375,"The Star Trek in IMAX wasn`t in 3D, but it was huge on the screen. Still worth watching.",the star trek in imax was not in but it was huge on the screen still worth watching,positive
4376,Tis me SharonP...,its me sharonp,neutral
4377,getting ready to see my cousins graduate. gonna miss em.,getting ready to see my cousins graduate going to miss them,positive
4378,**** i shouldnt have left!,shit i shouldnt have left,negative
4379,is missing the fun she had with _Army at Eclipse 3 #SArmy #SArmy #SArmy,is missing the fun she had with username at eclipse,neutral
4380,_law_rence & WHY?! my head feels like the surface of the sun underneath a beaver pelt.,lawrence why my head feels like the surface of the sun underneath a beaver pelt,negative
4381,LOVED 'Drag Me To Hell' and 'Up'...yeah my Spend the Day Studying plan didn`t happen,loved drag me to hell and upyeah my spend the day studying plan did not happen,positive
4382,http://tinyurl.com/c8nlzh - forgot how much I like this song,forgot how much i like this song,neutral
4383,aww... me too,exclaimed me too,positive
4384,Having a cup of tea,having a cup of tea,positive
4385,I`ll have to wait for the YouTube links,i will have to wait for the youtube links,negative
4386,"Finished watching Episode 4&5 of Ruby Metaprogramming Screencasts. Lots of cool tips, great! But need to more coding practices to master.",finished watching episode of ruby metaprogramming screencasts lots of cool tips great but need to more coding practices to master,positive
4387,"Going to twitter in english, for my foreign followers",going to twitter in english for my foreign followers,positive
4388,_city tell brandon I said hi!!,city tell brandon i said hi,negative
4389,"I love the site what a hoot, really enjoy the hair cuts in Thailand, always try to time ir just right, thanks for the tip",i love the site what a hoot really enjoy the hair cuts in thailand always try to time inland revenue just right thanks for the tip,positive
4390,Not made it to work couldn`t get up feelin blurgh,not made it to work could not get up feeling bleurgh,negative
4391,I have it. Hehehehe u want the torrent?,i have it hehehehe you want the torrent,negative
4392,On way back home after a crazy night on the coast,on way back home after a crazy night on the coast,positive
4393,My throat hurts and I can`t sleep.,my throat hurts and i cannot sleep,negative
4394,"Wow, Hugh Jackman TOTALLY bulked up for Wolverine. So so movie...but helloooo nurse! He`s dreeaamy Yup, my crushed spirit is on the mend.",wow hugh jackman totally bulked up for wolverine so so moviebut hello nurse hes dreamy yup my crushed spirit is on the mend,positive
4395,_amr i`m here haha,hey mr i am here haha,positive
4396,im depressed on this pretty day Everyone either is doing something or CAN`T...bleh -.-,i am depressed on this pretty day everyone either is doing something or cantbleurgh,negative
4397,The rain outside motivates me to sleep.,the rain outside motivates me to sleep,neutral
4398,ok i just spent like 100$ on soundtracks on the EVE. sigh,ok i just spent like on soundtracks on the evening sigh,neutral
4399,HEY BUCK!!!! love u loads!! LOVE 'WHAT THE BUCK?!',hey buck love u loads love what the buck,positive
4400,"Wow, my bed is SO comfy & my nap has been much too short. Getting up for work = do not want.",wow my bed is so comfy my nap has been much too short getting up for work which i do not want,negative
4401,..exams. haha just remembrd the china buffet king yesterday. vair amusing ....,exams haha just remembrd the china buffet king yesterday vair amusing,neutral
4402,"hmmm dollhouse sounds pretty good, http://bit.ly/z3aZv i think ima download it and try watching it",hmmm dollhouse sounds pretty good i think i am going to download it and try watching it,positive
4403,and if i lived in usa i would gotto 2 go to 106 park ma aunty lives in NYC the bronx GRRR,and if i lived in usa i would got to go to park ma aunty lives in new york city the bronx grrrrr,negative
4404,"**** these nig*s is all on me, but they won`t get this...'Not without a check!' LMFAO",fuck these niggas is all on me but they will not get thisnot without a check laughing my fucking arse off,negative
4405,SFTW & pot of tea,something for the weekend pot of tea,positive
4406,thanks do the invite though,thanks do the invite though,neutral
4407,YOU LOOKED ABSOLUTELY BEAUTIFUL AND ELEGANT.,you looked absolutely beautiful and elegant,positive
4408,"Thank you so much Natalie, hope u are well",thank you so much natalie hope you are well,positive
4409,"Please send me those youtube links, Erin watched most of them but I was cooking and didn`t get to see the cowboys",please send me those youtube links erin watched most of them but i was cooking and did not get to see the cowboys,negative
4410,"That didn`t work, unfortunately.",that did not work unfortunately,negative
4411,Early morning walkies really aren`t my thing... at least it`s vaguely warm,early morning walkies really are not my thing at least it is vaguely warm,negative
4412,get it right! I think I am obsessed with Hydes` voice @_@ I`ve chosen a guitar song to learn for the summer! Time to perfect picking!,get it right i think i am obsessed with hydess voice i have chosen a guitar song to learn for the summer time to perfect picking,positive
4413,Good prices for bulk SMS and Premium SMS too http://promotion.itagg.com,good prices for bulk sms and premium sms too httppromotionitaggcom,positive
4414,is heading in to London to meet with and let us know if you`re about still not sure what time we`re meeting.....,is heading in to london to meet with and let us know if you are about still not sure what time we are meeting,neutral
4415,"Actually, the post shows they know what happens when you overflow...",actually the post shows they know what happens when you overflow,positive
4416,What`s worse than a fever and sore throat? Cancelling a trip to see your little bro because of a fever and sore throat.,whats worse than a fever and sore throat cancelling a trip to see your little bro because of a fever and sore throat,negative
4417,The Case of the Gigolo`s Picolo?,the case of the gigolos picolo,positive
4418,_92 yeah im okayy lots been happening while you not been here !! anyone special at the moment ? ****,yeah i am okay lots been happening while you not been here anyone special at the moment shit,neutral
4419,reconnecting with amadeus and friends,reconnecting with amadeus and friends,positive
4420,Yea! Headed home to change and head over to Pelham. Sad thought... suposed to be heading over there for the NKOTB concert...,yeah headed home to change and head over to pelham sad thought suposed to be heading over there for the new kids on the block concert,negative
4421,"black is good... tight, or should I say too tight, not so good.",black is good tight or should i say too tight not so good,neutral
4422,Aw it says the pic doesn`t exist anymore,exclaimed it says the picture does not exist anymore,negative
4423,"Today, i did`t have lunch, cuz wel i embarrass my self with all 'school' ok, FINAL TESTS and FINAL YEAR aaaaa! thanx God 4 That friends!",today i didt have lunch because well i embarrass my self with all school ok final tests and final year aaaaa thanks god for that friends,positive
4424,is eating chocolate ready break,is eating chocolate ready break,negative
4425,my newsreader is filling up with blogs yay! keep pm`ing me your blog sites. I love reading them!,my newsreader is filling up with blogs yaay keep private messaging me your blog sites i love reading them,positive
4426,testing out ymtumbkr on my iphone http://tumblr.com/xiy1qycvc,testing out ymtumbkr on my iphone,positive
4427,home alone and no one left me any gummy bears,home alone and no one left me any gummy bears,positive
4428,back from melly`s party... i had fun... i`m sleepy now...,back from mellys party i had fun i am sleepy now,positive
4429,Haha...YAY!!! I`M CURED!!!!,hahayaay laughing i am cured,negative
4430,I guess she`s not the type of songwriter who dreams the great ones.,i guess she is not the type of songwriter who dreams the great ones,neutral
4431,I know... it`s already been two weeks!,i know it is already been two weeks,negative
4432,"Sick, sick, sick. This sucks. i can`t even breathe properly",sick sick sick this sucks i cannot even breathe properly,negative
4433,Adding names to my Twitter account and learning how to use this amazing thing!,adding names to my twitter account and learning how to use this amazing thing,positive
4434,ooh thats an early start ive got bed planned for that time..ha..LoveYouJonesy ****,oh thats an early start i have got bed planned for that timehaalove you jonesy daft,neutral
4435,"It`s allright pastor, jiayou for the book!!",its allright pastor jiayou for the book,positive
4436,Booo my best friend is leavin for the weekend. What ever will I do without her??,bro my best friend is leaving for the weekend what ever will i do without her,positive
4437,OH MY GOD! OH MY GOD! OH MY GOD! New SUPERNATURAL starts tonight! New Sam and Dean! Oh My god! can`t breathe! <3 <3,oh my god oh my god oh my god new supernatural starts tonight new sam and dean oh my god cannot breathe love you,positive
4438,is never around for the sl100 quiz I want water park tickets waaaa,is never around for the quiz i want water park tickets amazed,negative
4439,"Hey, did his wife die? I am really confused. I hadn`t been on his MySpace in a little while, but I just read his Twit.",hey did his wife die i am really confused i had not been on his myspace in a little while but i just read his tweet,negative
4440,i am kind of excited to go to school today. i dont know why. hopefully it will be a good day,i am kind of excited to go to school today i dont know why hopefully it will be a good day,neutral
4441,Doing a Rainbow and Unicorn film then? #48hours,doing a rainbow and unicorn film then,positive
4442,i keep reading contracts as cataracts... Someone should bring me panera,i keep reading contracts as cataracts someone should bring me panera,neutral
4443,Guess who has internet at her house? *raises hand* And it`s not dial up.,guess who has internet at her house raises hand and it is not dial up,negative
4444,"My friend ..has cancelled on me for tomorrow, Now i have nothing to do...this makes me sad... xxxxxx",my friend has cancelled on me for tomorrow now i have nothing to dothis makes me sad crying,negative
4445,UGH BUT I N33D T0G0 BAD..,exclaimed sadness sigh but i need to go bad,negative
4446,Are y`all coming out today??? We could go to the graveyard!! HOORAYY!!!!!,are you all coming out today we could go to the graveyard exclaimed,negative
4447,my hair won`t turn whiiite,my hair will not turn white,negative
4448,unfortunately I`m not drunk enough lol and have no money to get drunk I have had alot though as u can imagine haha,unfortunately i am not drunk enough laughted out loud and have no money to get drunk i have had a lot though as you can imagine laughing,negative
4449,Yeah prbly pickin up songs for SingStar. Haven`t checked the last few store updates. And dunno that Cranberries song.,yeah probably picking up songs for sing star havent checked the last few store updates and do you know that cranberries song,negative
4450,tonight was a very bad night,tonight was a very bad night,negative
4451,Bristol`s is the ish! I LOVE their brunch on Sundays. Ruth Chris is good too but I got sick there once.,bristols is the ish i love their brunch on sundays ruth chris is good too but i got sick there once,positive
4452,all mom`s in the world congratulations,all moms in the world congratulations,positive
4453,"but better hurry, so you wouldn`t be labeled as copycats",but better hurry so you would not be labeled as copycats,neutral
4454,is SOOOOO hungry right now! Should`ve eaten before this wedding.,is so exclaimed hungry right now shouldve eaten before this wedding,negative
4455,welcome to twitter my friend,welcome to twitter my friend,positive
4456,at Happy mother`s dayyy Deniseee <3,at happy mothers day denise love you so much exclaimed,positive
4457,"Ben & Jerry`s fail. Got email for free ice cream. Says click here to redeem coupon. When I click, I get error message",ben jerrys fail got email for free ice cream says click here to redeem coupon when i click i get error message,negative
4458,"has anyone else seen this? the DM notification email says 'reply on we web.' i am all for cool accents, but it`s weird online",has anyone else seen this the direct message notification email says reply on we web i am all for cool accents but it is weird online,negative
4459,"YAYAYYAYAYAY Toy Story 3 is coming out. June 18, 2010 though",exclaimed in joy toy story is coming out june though,neutral
4460,I`m straining to hear but it`s very hard from all the way over here.,i am straining to hear but it is very hard from all the way over here,neutral
4461,awwwh u stuck in traffic booo!,amuzed you stuck in traffic brother,negative
4462,"Fear not! You deserve alot, you care for animals. )) I`ll get some food, don`t worry!",fear not you deserve a lot you care for animals happy smiley emoji i will get some food do not worry,positive
4463,living it up at empire hotel...free bottle service. it ROCKS having connections,living it up at empire hotelfree bottle service it rocks having connections,positive
4464,"Google Wave presentation: http://bit.ly/2ehfov I`m not very impressed. It`s nice, but it`s not really for me",google wave presentation i am not very impressed its nice but it is not really for me,neutral
4465,"same to you bud. Kudos on your hardcore gym training, it`s a great lifechanging experience, keep it up!!!",same to you bud kudos on your hardcore gym training it is a great life changing experience keep it up,positive
4466,- brief interruption- brb. goodnight if i don`t catch u again later. gotta ck something,brief interruption brb goodnight if i do not catch you again later gotta check something,negative
4467,I still miss him... And i dont think he`s coming back,i still miss him and i dont think he is coming back,negative
4468,"dude, was that you in the new Star Trek Burger King commercial? Bud Light AND Burger King? So proud of u man.",dude was that you in the new star trek burger king commercial bud light and burger king so proud of you man proud amuzed,positive
4469,"MAD AS HELL! SOMEONE STOLE MY PINK & BLACK LEAPORD PRINT PUMPS I WANTED TO WEAR TODAY BUT TO GOD BE THE GLORY, HE`LL BLESS ME ABUNDANTLY",mad as hell someone stole my pink black leapord print pumps i wanted to wear today but to god be the glory hell bless me abundantly,negative
4470,you didnt include Taylor in the 'Follow Friday',you did not include taylor in the follow friday,neutral
4471,I got the new Silverstein CD. aha. Its AMAZING. I highly recomend it.,i got the new silverstein cd exclaimed in joy its amazing i highly recomend it amuzed,positive
4472,chris came over for exactly one hour i moped around after he left and ended up falling asleep.,chris came over for exactly one hour i moped around after he left and ended up falling asleep,negative
4473,i`m a bum today,i am a bum today,positive
4474,went to the cd store to search for the cd. But,went to the cd store to search for the cd but,neutral
4475,"A big welcome to Twitterlandz grrl! Really wish I could have made it to the Bettie show, glad to hear it was a success",a big welcome to twitterlands groans growls really wish i could have made it to the bettie show glad to hear it was a success,positive
4476,<----------- is listening the **** out of Lamb of God,is listening the shit out of lamb of god,negative
4477,Spilled chocolate milk in my car,spilled chocolate milk in my car,positive
