Text,Meaning,Sentiment
yeah...I hope it turns out... 20 more minutes!,yeah...I hope it turns out... 20 more minutes!,neutral
I will have to see the unveiling of your new LR arrangement! Is there an official event planned,I will have to see the unveiling of your new LR arrangement! Is there an official event planned,neutral
iamkiara__ im so sick I fell over last night outside coz I was putting something in the bin,iamkiara__ im so sick I fell over last night outside because I was putting something in the bin,negative
I hear you. I can`t think of a layout either. lol I`ve been trying for i dont know how long.,I hear you. I can`t think of a layout either. lol I`ve been trying for i dont know how long.,neutral
Yay got the Internet on my itouch working,Yay got the Internet on my itouch working,neutral
"Nice! Elise rolled out Thas wassup! Have fun, ladies!","Nice! Elise rolled out Thas wassup! Have fun, ladies!",positive
have a safe ride up the coast. Don`t be going 90 even though you can. when its windy just smile cuz u know u have it better.,have a safe ride up the coast. Don`t be going 90 even though you can. when its windy just smile cuz u know u have it better.,positive
Sleep....take two....this better work!,Sleep....take two....this better work!,positive
"have to wear my glasses today, cos my right eye is swollen and i don`t know why","have to wear my glasses today, because my right eye is swollen and i don`t know why",negative
I lafff the rain,I lafff the rain,neutral
I love my boy he makes me so happy... and looks his sexiest in plain black boxers =p,I love my boy he makes me so happy... and looks his sexiest in plain black boxers *=p* [tongue out hot emoji],positive
grrrrrrrrrrrrrr ive barely read any of it,[growls & groans] *grr* i have barely read any of it,neutral
http://tinyurl.com/ateltl <-- Rocksteady pt II,http://tinyurl.com/ateltl <-- Rocksteady pt II,neutral
WOOHOOO very cool see I knew u would get to see her,*WOOHOOO* [amuzed] very cool see I knew you would get to see her,positive
the 2009 convention ( http://tr.im/mLvw ) doesn`t look that great this year - going to vegas then sounds much more fun,the 2009 convention ( http://tr.im/mLvw ) doesn`t look that great this year - going to vegas then sounds much more fun,neutral
"Yes,... I blame you all","Yes,... I blame you all",negative
And this picture of her with Zack from Saved By The Bell http://twitpic.com/669lg,And this picture of her with Zack from Saved By The Bell http://twitpic.com/669lg,neutral
"He can`t fix it. I guess I`ll write until I get too bored then watch tv. Man, this is lame.","He can`t fix it. I guess I`ll write until I get too bored then watch tv. Man, this is lame.",negative
wishes happy mothers` day to all moms out there.,wishes happy mothers` day to all moms out there.,positive
": Potter, are also in that category! Hehe. <3 I love you too!!! So much",": Potter, are also in that category! Hehe. *<3* [heart emoji keyboard symbol] I love you too!!! So much",positive
did you google it too? or maybe you actually knew the answer lol ps put uo the pics already from last night im getting anxious,did you google it too? or maybe you actually knew the answer [laugh out loud] please put *uo* the pictures already from last night I am getting anxious,neutral
"SUPER EXCITED. JUST BOUGHT MY TIX TO SEE HEY MONDAY ON 6/20. AGAIN. ~SVETLANA J. DENVER,CO","SUPER EXCITED. JUST BOUGHT MY TIX TO SEE HEY MONDAY ON 6/20. AGAIN. ~SVETLANA J. DENVER,CO",positive
woop right am off to 'try' to get 2 sleep haha its 2 hot have a good nightt x,*woop* [excited] right am off to 'try' to get 2 sleep *haha* [laughing] its too hot have a good night *x* [take care],neutral
_Guy Me neither But itÃ¯Â¿Â½s getting better,_Guy Me neither But it is getting better,positive
try #fireflight first... female fronted metal is awesome.. .. Unbreakable album would be a good start!,try #fireflight first... female fronted metal is awesome.. .. Unbreakable album would be a good start!,positive
Hows that possible? No rain forecast for Pinkpop? And I have no ticket,How is that possible? No rain forecast for Pinkpop? And I have no ticket,neutral
I`m not sure about this tweet business Why are the simple things so difficult?,I`m not sure about this tweet business Why are the simple things so difficult?,negative
"june 15, 1995, chino hills, CA. The 1 day it rained n june in SoCal...we had an outside grad; had 2 move it 2 the gym","june 15, 1995, chino hills, CA. The 1 day it rained in june in so called...we had an outside guard; had to move it to the gym",neutral
With walking the streets of Harlem. Home sweet home,With walking the streets of Harlem. Home sweet home,positive
Rod stewart`s new song,Rod stewart`s new song,neutral
JUST like to clarify that I am a unable to acc. review vibrators as have not testrun any. *not an invitaiton for freebies,JUST like to clarify that I am a unable to access review vibrators as have not test run any. *not an invitaiton for freebies,negative
Momma martini went food shopping without me!!!!,Mom martini went food shopping without me!!!!,negative
"Where I live, all the small markets deliver their day-old bread to the food bank, but times are really tough, even for me","Where I live, all the small markets deliver their day-old bread to the food bank, but times are really tough, even for me",negative
Good Morning. It`s Friday and the start of my work week But... Lakers are going to take the 4th W tonight. Woohoo GO LAKERS!!!!,Good Morning. It`s Friday and the start of my work week But... Lakers are going to take the 4th Win tonight. *Woohoo* [excited] GO LAKERS!!!!,positive
"really tired. and have to work the whole day tomorrow, the thought of it depresses me. uncoooool....","really tired. and have to work the whole day tomorrow, the thought of it depresses me. uncool [depressed]....",negative
Once James Cameron touches something and revolutionizes it... someone else comes along and **** it up,Once James Cameron touches something and revolutionizes it... someone else comes along and fuck it up,negative
I KNO!!! im so sad! evry1 is leavin its horrible! im supposed to b happy for summer but i cant ima miss evry1!,"I Know!!! iam so sad! everyone is leaving, its horrible! i am supposed to be happy for summer but i can't i am going to miss everyone!",negative
nachos and the tudors? i think so,nachos and the tudors? i think so,neutral
Good morning Dan! It`s my Bday and I plan on getting some exercise too today!! Love ya!! See you in NYC!!!,Good morning Dan! It`s my Birthday and I plan on getting some exercise too today!! Love you [excited]!! See you in New York City!!!,positive
Just found out a friend and his son fell down a 25ft shaft onto concrete today. They are alive at least. Don`t know much else.,Just found out a friend and his son fell down a 25ft shaft onto concrete today. They are alive at least. Don`t know much else.,neutral
is tired and sad,is tired and sad,negative
They`re gone.,They`re gone.,negative
What`s all your fault?,What`s all your fault?,neutral
http://twitpic.com/67swx - i wish i was calling you but i can`t from Malta,http://twitpic.com/67swx - i wish i was calling you but i can`t from Malta,positive
Have hardly worked out in the last two weeks but am losing weight. Fear I`m losing muscle!! Just made doc. appt. for injured foot,Have hardly worked out in the last two weeks but am losing weight. Fear I`m losing muscle!! Just made doctor appointment for injured foot,negative
will u say shoutout to NIKKI!!! please (Soulja Boy Tell `Em LIVE live > http://ustre.am/2UhS),will you say shoutout to NIKKI!!! please (Soulja Boy Tell `Em LIVE live > http://ustre.am/2UhS),positive
I hide my berry like a slave REGULARLY only today I was caught by massa & im def not light enough to be a juice pouring slave,I hide my berry like a slave REGULARLY only today I was caught by massa & i am definitely not light enough to be a juice pouring slave,neutral
"Won a diamond for my compÃ¯Â¿Â½tition , yaayy tomorow its the DIAMOND DANCE OFF !! Were the best .. Still in montrÃ¯Â¿Â½al !!","Won a diamond for my comptition , *yaayy* [very happy] tomorow its the DIAMOND DANCE OFF !! Were the best .. Still in montreal !!",positive
"Sitting here, waiting to go to the gym.....almost left, then realized I never charged my iPod from my trip to Wisconsin....it`s dead","Sitting here, waiting to go to the gym.....almost left, then realized I never charged my iPod from my trip to Wisconsin....it`s dead",neutral
Fighter - Christina Aguilera. LOVE that song,Fighter - Christina Aguilera. LOVE that song,positive
warmed up nicely outside. sucks being stuck inside coding,warmed up nicely outside. sucks being stuck inside coding,neutral
"http://twitpic.com/4wu0a - Sunny day at vivocity, yupz just showered.. Runs into airconditioned mall..","http://twitpic.com/4wu0a - Sunny day at vivocity, *yupz* [yes] just showered.. Runs into airconditioned mall..",neutral
I know it`s against the law... I am a rebel in small things.,I know it`s against the law... I am a rebel in small things.,positive
"Thanks to TweetStats, I confirmed what I long suspected: Twitter is keeping me up way too late! ht.. http://twurl.nl/oaerf4","Thanks to TweetStats, I confirmed what I long suspected: Twitter is keeping me up way too late! ht.. http://twurl.nl/oaerf5",positive
BabyLove em homenagem ao Baby D,BabyLove as a tribute to Baby D,positive
won`t be going to the Oxford Internet Institute Sunner Doctoral Programme in Brisbane: lack of funding,won`t be going to the Oxford Internet Institute Sunner Doctoral Programme in Brisbane: lack of funding,negative
I don`t saw the movie,I don`t saw the movie,neutral
all ur pic it`s so nice look so cute..oh!!,all your picturea it`s so nice look so cute..oh!!,positive
"watching a film, recovering from my operation","watching a film, recovering from my operation",positive
My day on the computer is about to end. Dang. I hate not being allowed on the computer.,My day on the computer is about to end. Dang. I hate not being allowed on the computer.,negative
i`m going to kill myself T_T . i wasted hundreds of download and realised i got the wrong one,i`m going to kill myself *T_T* [sad feeling emoji] . i wasted hundreds of download and realised i got the wrong one,negative
"Guys, follow for the RX Twitterwar!!!! DD GO GINOOOO!!!","Guys, follow for the RX Twitterwar!!!! DD GO GINO!!!",neutral
"School is going to be absolutely horrible today. Peace out, `09","School is going to be absolutely horrible today. Peace out, `10",negative
http://twitpic.com/4wh5x - LUCKY! I`m so jealous even though I don`t like her that much,http://twitpic.com/4wh5x - LUCKY! I`m so jealous even though I don`t like her that much,negative
sadface,sadface,negative
I get the feeling is going to make me wait until I get home to tell me I`m denied vittles from BWW.,I get the feeling is going to make me wait until I get home to tell me I`m denied vittles from BWW.,neutral
_hand Oops! I completely forgot!,_hand Oops! I completely forgot!,negative
"No problem. At least look on the floor. We won`t see the banana skin in our brains ... I step on it once, almost got killed","No problem. At least look on the floor. We won`t see the banana skin in our brains ... I step on it once, almost got killed",neutral
dam i missed hollyoaks 2nite!,damn i missed hollyoaks tonight!,negative
there`s relisting fees when you don`t complete a sale? that sucks!,there`s relisting fees when you don`t complete a sale? that sucks!,negative
_coach IMHO this soft is the best to keep the chaos straight http://bit.ly/yuFil,_coach IMHO this soft is the best to keep the chaos straight http://bit.ly/yuFil,positive
I was being childish lol cos one of them said that pic of Jake in Down to earth made them vomit,I was being childish *lol* [laughed out loud] because one of them said that pic of Jake in Down to earth made them vomit,neutral
err i think they`re like 15 bucks a ticket cause its 3D too. too expensive,*err* [thinking or confused] i think they`re like 15 bucks a ticket cause its 3D too. too expensive,negative
"Aww Stanley, have you still got him, they can live for like 20 years right? x","*Aww* [amuzed] Stanley, have you still got him, they can live for like 20 years right? x",neutral
http://twitpic.com/4u5h8 - leon looks supa` fly on that mini couch,http://twitpic.com/4u5h8 - leon looks super [exclaimed] fly on that mini couch,positive
_carter Hey Brian Littrell is there!! He doesnt really like this kinda pages rigth? kisses! I loev you guys!,_carter Hey Brian Littrell is there!! He doesnt really like this kinda pages rigth? kisses! I love you guys!,positive
"did you go to uga? If so, I liked you better before I knew! Ha!","did you go to yoga? If so, I liked you better before I knew! *Ha* [yes, exclaimed]!",positive
is having trouble breathing through the pain..and now i have a **** fever... (^~^)<^>,is having trouble breathing through the pain..and now i have a **** fever... (^~^)<^>,negative
I`m feel deflated. Ugh. No more dog.,I`m feel deflated. Ugh. No more dog.,negative
"_grant Hey Donna, lovely to see you on Twitter.","_grant Hey Donna, lovely to see you on Twitter.",positive
read something happy?,read something happy?,positive
Good morning from RSA Twitterverse!! Please send me some happy vibes & cheerfulness today I`m feeling a little sad,Good morning from RSA Twitterverse!! Please send me some happy vibes & cheerfulness today I`m feeling a little sad,neutral
CloneCloud: actually it`s distant processor provisioning like the idea http://bit.ly/b9v90,CloneCloud: actually it`s distant processor provisioning like the idea http://bit.ly/b9v91,neutral
Well that is nice. Loving the new Friends organiser too.,Well that is nice. Loving the new Friends organiser too.,positive
It is a recession,It is a recession,neutral
I REEEALLY wish I could be there haven`t been n a while.what`s goin on down there lately?,I REALLY wish I could be there haven`t been in a while. what`s going on down there lately?,positive
Can I also have a swirly flat white?,Can I also have a swirly flat white?,neutral
I should have posted this for the world Pinhole day I Love this picture. http://twitpic.com/4jb4d,I should have posted this for the world Pinhole day I Love this picture. http://twitpic.com/4jb4d,positive
oh poor you atleast get paid for staying back or?,oh poor you atleast get paid for staying back or?,neutral
Ghunghte Mein Chanda Hai Phir Bhi Hai Phela Chaaron Aur Ujala i love that songggggg ps i got lost in morrisons,"*Ghunghte Mein Chanda Hai Phir Bhi Hai Phela Chaaron Aur Ujala* [in Hindi] i love that song postscript, i got lost in morrisons [exclaimed]",neutral
you look sooooo pretty love. dang I wish I was in NY so I could c u do ur thang,you look so [exclaimed] pretty love. dang I wish I was in New York so I could see you do your thing,positive
"lmao, yep","*lmao* [laughing my ass off], *yep* [yes]",neutral
Aaaaaaaa!! I hate **** winshit!!,*Aaaaaaaa*!! [exclaimed] I hate **** winshit!!,negative
Ugh i hate not having my car!! i miss you my little ford focus!!!,*Ugh* [stunned / confused / questioning] i hate not having my car!! i miss you my little ford focus!!!,negative
"To every mom, mommy and mother, Happy Mother`s Day Hope you all do something special and fun today.","To every mom, mommy and mother, Happy Mother`s Day Hope you all do something special and fun today.",positive
I have to go to work.,I have to go to work.,neutral
is soo in love with beyonce`s song 'smash into you',is so in love with beyonce`s song 'smash into you',positive
Did it!! back in pakistan! - http://bkite.com/07kBP,Did it!! back in Pakistan! - http://bkite.com/07kBP,neutral
me too what are you doing?,me too what are you doing?,neutral
Huge headache...goodnight!!,Huge headache...goodnight!!,neutral
that sucks,that sucks,negative
that`s what she said?,that`s what she said?,neutral
"Had a good time out , now I must sleep lol. Gym & dance rehearsals in like 5 hours,","Had a good time out , now I must sleep *lol* [laugh out loud]. Gym & dance rehearsals in like 5 hours,",positive
the trip was really great. but i cant belive summers here,the trip was really great. but i cant belive summers here,neutral
- halla!!! doing ok- got a cold but trying to ignore it how about you?,- *halla* [attack] !!! doing ok- got a cold but trying to ignore it how about you?,neutral
tweeting from ally court for the last time.... its a sad sad moment,tweeting from ally court for the last time.... its a sad sad moment,negative
_iddon blerrrrrrrrrrgh. im too hot and all sticky,_iddon blergh. i am too hot and all sticky,negative
having my dinner. eating bangus. it`s a fish.,having my dinner. eating bangus. it`s a fish.,neutral
i feel very ill. i think im dehydrated,i feel very ill. i think im dehydrated,negative
Biology final today. Then home to prepare for psychology.,Biology final today. Then home to prepare for psychology.,neutral
I think Steph will enjoy her first Mother`s Day tomorrow.,I think Steph will enjoy her first Mother`s Day tomorrow.,positive
Just got home from school. Doing assignments.,Just got home from school. Doing assignments.,neutral
"over LT training today, ehhh hard to tall how hard it was. But now I feels good. Sunday race day again... Its raining now so lost of mud","over LT training today, *ehhh* [disgust] hard to tell how hard it was. But now I feels good. Sunday race day again... Its raining now so lost of mud",positive
whos going to see reemer on wednesdayy me and kirsty are going (A) im well exited !!!,who is going to see reemer on wednesday me and kirsty are going (A) i am well exited !!!,positive
I miss having u as a roommate,I miss having you as a roommate,negative
jersey weather - and good on you for the charity drive!,jersey weather - and good on you for the charity drive!,positive
"Oh, I didn`t realize its on at 830 as well- already at work- or as today still in the car, don`t ask","Oh, I didn`t realize its on at 830 as well- already at work- or as today still in the car, don`t ask",neutral
~ I`m sure that would make Mr. Koons very happy,~ I`m sure that would make Mr. Koons very happy,positive
Happy Mother`s day VALK!!,Happy Mother`s day VALK!!,positive
i know im wrong .. just give me one more chance sEnti .. :],i know im wrong .. just give me one more chance sEnti .. :],neutral
would like to have a gaming system,would like to have a gaming system,positive
I`ve been here since 3 and i`m here for 8 more hours tomorrow,I`ve been here since 3 and i`m here for 8 more hours tomorrow,neutral
"_rosaen i LOVE your new bracelets!! im a very proud sista...you rock, girly","_rosaen i LOVE your new bracelets!! i am a very proud sister...you rock, girly [exclaimed]",positive
"Going home to enjoy what is left of the day - I can`t believe how quickly this week flew by, no time for tweets","Going home to enjoy what is left of the day - I can`t believe how quickly this week flew by, no time for tweets",positive
laze about ! It`s. The bank holiday law,laze about ! It`s. The bank holiday law,neutral
Potluck for danielle taking veggie tray. I will miss her,Potluck for danielle taking veggie tray. I will miss her,negative
"i think my cold is getting worse, not better!! i cant stop coughing - it really sucks!!","i think my cold is getting worse, not better!! i cant stop coughing - it really sucks!!",negative
"time to start unfollowing some people, i think","time to start unfollowing some people, i think",neutral
my tix are in limbo....as usual #UPSsucks,my tix are in limbo....as usual #UPSsucks,negative
oooh gosh Google Wave is looking pretty sexy. Lunch time`s over though Back to Powerpoint (significantly less sexy),oh gosh Google Wave is looking pretty sexy. Lunch time`s over though Back to Powerpoint (significantly less sexy),neutral
Off to go B&Q for new outdoor furniture,Off to go B&Q for new outdoor furniture,neutral
Sachie: YNA DOESN`T KNOW OUR PASSWORD YET,Sachie: YNA DOESN`T KNOW OUR PASSWORD YET,neutral
my interview if picked is NY too. But you probably forgot about me after blogtalk radio.,my interview if picked is New York too. But you probably forgot about me after blogtalk radio.,negative
Why am I having such a hard time falling asleep,Why am I having such a hard time falling asleep,negative
"oh kasa, please lose the hair do","oh kasa, please lose the hair do",negative
Im just thinking bout life. I need my bed. My fiance is in bed first,Im just thinking bout life. I need my bed. My fiance is in bed first,neutral
Flat tire city,Flat tire city,neutral
I hate the exams . first time and last time in this school then i`m out ! after 10 years! yaaaay !,I hate the exams . first time and last time in this school then i`m out ! after 10 years! yay ! [very happy],neutral
hope u did alright on the final,hope you did alright on the final,positive
"Hey #socialmediatv - I`m new here - is this a recorded show, viewable later too? thanks (Social Media TV live > http://ustre.am/2NjV)","Hey #socialmediatv - I`m new here - is this a recorded show, viewable later too? thanks (Social Media TV live > http://ustre.am/2NjV)",positive
Hello everyone im just sitting here rocking out to 9412 sam on the air The best classic rock station on twitter here,Hello everyone i am just sitting here rocking out to 9412 sam on the air The best classic rock station on twitter here,positive
Schwarzenegger proposes closing 220 state parks http://bit.ly/MhKz0,Schwarzenegger proposes closing 220 state parks http://bit.ly/MhKz1,neutral
http://twitpic.com/4wgp2 - Bambi will eat you,http://twitpic.com/4wgp2 - Bambi will eat you,neutral
is at home with a pukey boy! Poor little baby,is at home with a pukey boy! Poor little baby,negative
He`s an amazing jockey! Saw that Clydesdale commercial too..loved it!,He`s an amazing jockey! Saw that Clydesdale commercial too..loved it!,positive
let me know how it goes babe good luck!,let me know how it goes babe good luck!,positive
"Good morning Been here since 4am, just quiet. How are you?","Good morning Been here since 4am, just quiet. How are you?",positive
Amazing night at the drive in,Amazing night at the drive in,positive
Sam can go shoot her self.,Sam can go shoot her self.,negative
Midnight ice-cream weather! So **** bored,Midnight ice-cream weather! So **** bored,negative
guns and roses baby! yay! was hopin you would blip.fm it,guns and roses baby! yay! was hopin you would blip.fm it,positive
I kinda like not having a car but there have been situations lately where I have been prevented from participating due to my carlessness.,I kinda like not having a car but there have been situations lately where I have been prevented from participating due to my carlessness.,negative
Sooo the Children`s Museum was closed for a fund raiser when we got there. annoying,So the Children`s Museum was closed for a fund raiser when we got there. annoying,negative
"Free for all... good nite I mean its a good nite, wateva","Free for all... good nite I mean its a good nite, whatever",positive
Pulled in all directions and not knowing where to go,Pulled in all directions and not knowing where to go,negative
I`m a senior. I should of been already.,I`m a senior. I should of been already.,neutral
"Yea, someone is getting the best of me.","Yeah, someone is getting the best of me.",negative
Cleaning all day today after he runs off to do his stuff and setting my schedule for the week. I feel much better now and calmer too!,Cleaning all day today after he runs off to do his stuff and setting my schedule for the week. I feel much better now and calmer too!,positive
using yahoo pipes to combine feeds - doable & reliable I guess,using yahoo pipes to combine feeds - doable & reliable I guess,positive
sometimes spam leaks in to the message board.,sometimes spam leaks in to the message board.,neutral
that`s odd as it`s on my lap maybe that`s your cat O: s:,that`s odd as it`s on my lap maybe that`s your cat O: s:,negative
no cuz i feel the same way....,no because i feel the same way....,neutral
"leaving work, going to crystal to search for her license, picking her and bia up, then heading to vegas. ugh i`m tired already","leaving work, going to crystal to search for her license, picking her and bia up, then heading to vegas. ugh i`m tired already",negative
"Finally X-Men Origins: Wolverine arrived, Time to play the game like a mad man, And then it`s time for the review /Patrick","Finally X-Men Origins: Wolverine arrived, Time to play the game like a mad man, And then it`s time for the review /Patrick",neutral
"LOVE the album guys and can`t wait for the official release Just curious, what top 3 softsynths/DAW were used on it?","LOVE the album guys and can`t wait for the official release Just curious, what top 3 softsynths/DAW were used on it?",positive
thanks for a nice blog post! should however be given some creds since he has done at least half of the work on it,thanks for a nice blog post! should however be given some creds since he has done at least half of the work on it,positive
Chirstina said shes gunna twitter more ...no more partners,Chirstina said she is gonna twitter more ...no more partners,neutral
Some of yr coworkers hogging the jukebox @ Union Jacks.,Some of your coworkers hogging the jukebox @ Union Jacks.,neutral
"i love you so much tay (: youre so amazing <3 you should come to denmark, we love you here","i love you so much tay *(:* [happy emoji] youre so amazing *<3* [love emoji] you should come to denmark, we love you here",positive
Buying pretty shiny beads and things I feel quite girlish. http://elisem.livejournal.com/1473318.html,Buying pretty shiny beads and things I feel quite girlish. http://elisem.livejournal.com/1473318.html,neutral
Enjoying the cool breeze at the beach. It helps me relax and unwind.,Enjoying the cool breeze at the beach. It helps me relax and unwind.,positive
we shuld do a dance like that its seriously the best thing haha. see yu tomoro.,we shuld do a dance like that its seriously the best thing haha. see you tomorrow.,positive
'Can`t a Stevie wonder?' gabe just called me sleepypants gaby.,'Can`t a Stevie wonder?' gabe just called me sleepypants gaby.,neutral
"no, New orleans.. been here since katrina ..","no, New orleans.. been here since katrina ..",neutral
"i cant believe that its already friday! omg, what had i done?!","i cant believe that its already friday! Oh My God, what had i done?!",negative
Alix`s graduation party!,Alix`s graduation party!,neutral
Bioshock is as fantastic as the first time I played it. Now sleep then more Bioshock tomorrow,Bioshock is as fantastic as the first time I played it. Now sleep then more Bioshock tomorrow,positive
I love that song! I was starting to think I was the only one that knew that one! #sameperson,I love that song! I was starting to think I was the only one that knew that one! #sameperson,positive
How did you swing those? We didn`t get that close.,How did you swing those? We didn`t get that close.,neutral
sucks that i don`t have a drawing tablet!,sucks that i don`t have a drawing tablet!,negative
Only a month left of high school! Thank God. I am ready for summer,Only a month left of high school! Thank God. I am ready for summer,positive
#musicmonday Nicest Thing from Kate Nash,#musicmonday Nicest Thing from Kate Nash,positive
i just need to sleep,i just need to sleep,neutral
lucky e went! jealous!,lucky e went! jealous!,negative
Lately i`ve been waking up with the sun in my face but not today..,Lately i`ve been waking up with the sun in my face but not today..,neutral
_x it`s only on in glasgow,_x it`s only on in glasgow,neutral
"ha, the first request for sending a paper copy of my thesis","*ha* [yes], the first request for sending a paper copy of my thesis",neutral
not looking forward to driving in this storm.,not looking forward to driving in this storm.,negative
"omg having so much fun watcing house bunny, courto isa a ledge for sending me link <3","Oh My God having so much fun watcing house bunny, courto is a a ledge for sending me link <4",positive
imma miss dem KObe nd Bron commrcials wen cleveland get knocked out doe they wer funny,i am going to miss dem KObe and Bron commrcials when cleveland get knocked out doe they were funny,neutral
thanks man! I appreciate it! You rock sir.,thanks man! I appreciate it! You rock sir.,positive
wants new hair now! Just so frank won`t talk to me,wants new hair now! Just so frank won`t talk to me,neutral
want to see him so badly,want to see him so badly,negative
"i was just thinking about how excited i am for you guys to move, but then i realized how sad i am to see you go.","i was just thinking about how excited i am for you guys to move, but then i realized how sad i am to see you go.",neutral
really am sorry becauseI was looking forward to it.. thought itd be fun and u wanted to hear it.Iowe u a beer.,really am sorry becauseI was looking forward to it.. thought it would be fun and you wanted to hear it. I owe you a beer.,neutral
I have not been this sick in years. OMG. This sucks so bad. Sickness ended up including a full restroom cleanup.,I have not been this sick in years. Oh My God. This sucks so bad. Sickness ended up including a full restroom cleanup.,negative
..where is the song?,..where is the song?,neutral
"Working... And attempting to keep squirrels away.............. Squirels 1, jesska 0 I should stick to spiders","Working... And attempting to keep squirrels away.............. Squirels 1, jesska 0 I should stick to spiders",negative
*shrugs* So do I but it was too funny plus you know you enjoyed it Tweet **** .. Love you..,*shrugs* So do I but it was too funny plus you know you enjoyed it Tweet **** .. Love you..,positive
"s/s aus fshionwk- zimmermann,illionare,dhini + gail sorronda,ROMANCE WAS BORN,lisa ho,CASSETTE SOCIETY-loved the tutu, balmain ispired?","s/s aus fshionwk- zimmermann,illionare,dhini + gail sorronda,ROMANCE WAS BORN,lisa ho,CASSETTE SOCIETY-loved the tutu, balmain ispired?",positive
my day has been so crappy that i just want to cry.,my day has been so crappy that i just want to cry.,negative
i have 2 friends going so jealous,i have to friends going so jealous,negative
sad that will have to leave my beautiful apartment,sad that will have to leave my beautiful apartment,neutral
is still craving for a cheeseburger.,is still craving for a cheese burger.,neutral
you dont say,you dont say,neutral
Having a cup of tea I have a cold so it`s tasting really good!,Having a cup of tea I have a cold so it`s tasting really good!,positive
"Never realized how good #Techmeme is until I actually read it (duh!) As an avid Tech Crunch reader, this is much better...","Never realized how good #Techmeme is until I actually read it (duh!) As an avid Tech Crunch reader, this is much better...",positive
make it full girl 120%,make it full girl 120%,neutral
heyy. how are you?,hey. how are you?,neutral
Radio Royals AM Transmitter has packed up today... not good Anyone got a spare in your shed... lol,Radio Royals AM Transmitter has packed up today... not good Anyone got a spare in your shed... *lol* [laughed out loud],negative
LOL. Wow. That`s good. Haha I still can`t believe it`s mother`s day.,*LOL* [laughed out loud]. Wow. That`s good. *Haha* [laughing] I still can`t believe it`s mother`s day.,positive
just saw UP it was a cute movie (:passed by a place called a peasants kitchen. wtf? that names kinda sad,just saw Uttar Prasdesh it was a cute movie *(:* [happy emoji] passed by a place called a peasants kitchen. what the fuck? that names kinda sad,neutral
Will have to it`s only across the water and all. Just damned expensive,Will have to it`s only across the water and all. Just damned expensive,negative
"Guess I`m gonna try the nap thing again 2day, but since my kids haven`t cooperated with it yet this week I`m sure 2day won`t be different","Guess I`m gonna try the nap thing again today, but since my kids haven`t cooperated with it yet this week I`m sure today won`t be different",negative
and so another week begins. this one has got to be better than the last,and so another week begins. this one has got to be better than the last,positive
im following you! im following you! im sorry! ahhahah i missed you!,i am following you! i am following you! im sorry! *ahhahah* [disgust] i missed you!,negative
_bear i like you,_bear i like you,positive
ugh i need a job but no one is hiring,ugh i need a job but no one is hiring,negative
On the way back to dublin Omg didnt hit the bed until 530 so i am so sleepy but once again on the road back to good ole dublin :-p ...,On the way back to dublin Oh my God didnt hit the bed until 530 so i am so sleepy but once again on the road back to good ole dublin :-p ...,neutral
I don`t wanna work a 10-hour shift today! I`d rather whisper sweet-nothings into the earpiece of a lady friend`s cellphone.,I don`t wanna work a 10-hour shift today! I`d rather whisper sweet-nothings into the earpiece of a lady friend`s cellphone.,negative
Internet 1 drawing 0 ....**** I`m backing up blackberry files which could take hours then to the drawing preps done,Internet 1 drawing 0 ....**** I`m backing up blackberry files which could take hours then to the drawing preparations done,negative
when i have to make a decision like that i always choose Black.....,when i have to make a decision like that i always choose Black.....,neutral
I`m suffering from restless legs and butt syndrome.,I`m suffering from restless legs and but syndrome.,negative
hey when are you next in the UK?,hey when are you next in the UK?,neutral
hope you have a nice relaxing day!!! hope your well wishing you all the best,hope you have a nice relaxing day!!! hope your well wishing you all the best,positive
Has got to go to work with a slight hangover gd nite thou,Has got to go to work with a slight hangover gd nite thou,neutral
HAPPY MOTHERS DAY VICKY!!!! AND TO ALL THE OTHER MOTHERS WHO READ THIS!!!,HAPPY MOTHERS DAY VICKY!!!! AND TO ALL THE OTHER MOTHERS WHO READ THIS!!!,positive
"i`m sunburnt on my arms, and i have burnt my mouth, and some skin is coming off","i`m sunburnt on my arms, and i have burnt my mouth, and some skin is coming off",negative
staying home because I`m badass.,staying home because I`m badass.,positive
Really bad ones are also classic.,Really bad ones are also classic.,neutral
I want it to be summer. NOW. why is it sprinkling STILL!?!?,I want it to be summer. NOW. why is it sprinkling STILL!?!?,negative
My Birthday weekend! cant find where my ex hid our DANE COOK TICKETS for tomorrow!!! WTF that`s all i wanted for my birthday,My Birthday weekend! cant find where my ex hid our DANE COOK TICKETS for tomorrow!!! What The Fuck that`s all i wanted for my birthday,negative
the voter paint just peeled off my skin. or maybe my skin just peeled off with the voter paint,the voter paint just peeled off my skin. or maybe my skin just peeled off with the voter paint,negative
wake~n~bake monday,wake~n~bake monday,neutral
"I can`t say I`ve tried, but then again, I haven`t tried with a sword either Not yet, anyway.","I can`t say I`ve tried, but then again, I haven`t tried with a sword either Not yet, anyway.",neutral
This weekend has been probably the best and there is still another day to go!!,This weekend has been probably the best and there is still another day to go!!,positive
TestFest was weer een groot succes,TestFest was weer een groot success,positive
No pool today. Stupid weather.,No pool today. Stupid weather.,negative
@_YoureMyHeroine :`( i really know how you feelin. i wish i could hug you,@_YoureMyHeroine *:`(* [sad & crying emoji] i really know how you feeling. i wish i could hug you,neutral
he not getting off early?,he not getting off early?,neutral
